XS (b),dXS (b),Ea (eV),dEa (eV)
5.184000000000000e-04,3.920000000000000e-05,1.081400000000000e+06,1.622100000000000e+03
5.000000000000000e-04,3.760000000000000e-05,1.084400000000000e+06,1.626600000000000e+03
5.064000000000001e-04,3.840000000000001e-05,1.087400000000000e+06,1.631100000000000e+03
5.440000000000001e-04,3.920000000000000e-05,1.091400000000000e+06,1.637100000000000e+03
4.592000000000000e-04,3.680000000000000e-05,1.094400000000000e+06,1.641600000000000e+03
5.808000000000000e-04,4.000000000000000e-05,1.098400000000000e+06,1.647600000000000e+03
5.112000000000001e-04,3.840000000000001e-05,1.101400000000000e+06,1.652100000000000e+03
5.720000000000000e-04,4.000000000000000e-05,1.105400000000000e+06,1.658100000000000e+03
5.736000000000000e-04,4.000000000000000e-05,1.108400000000000e+06,1.662600000000000e+03
5.416000000000000e-04,3.840000000000001e-05,1.112400000000000e+06,1.668600000000000e+03
5.296000000000001e-04,3.760000000000000e-05,1.115400000000000e+06,1.673100000000000e+03
6.304000000000000e-04,4.080000000000000e-05,1.119400000000000e+06,1.679100000000000e+03
5.944000000000000e-04,4.000000000000000e-05,1.122400000000000e+06,1.683600000000000e+03
6.704000000000000e-04,4.160000000000000e-05,1.125400000000000e+06,1.688100000000000e+03
6.344000000000000e-04,4.080000000000000e-05,1.129400000000000e+06,1.694100000000000e+03
6.600000000000000e-04,4.320000000000000e-05,1.132400000000000e+06,1.698600000000000e+03
6.352000000000000e-04,4.160000000000000e-05,1.136400000000000e+06,1.704600000000000e+03
6.784000000000000e-04,4.400000000000001e-05,1.139400000000000e+06,1.709100000000000e+03
8.752000000000000e-04,4.880000000000000e-05,1.143400000000000e+06,1.715100000000000e+03
7.568000000000001e-04,4.480000000000000e-05,1.149400000000000e+06,1.724100000000000e+03
9.247999999999999e-04,4.880000000000000e-05,1.150400000000000e+06,1.725600000000000e+03
6.760000000000001e-04,4.160000000000000e-05,1.153400000000000e+06,1.730100000000000e+03
7.992000000000001e-04,4.560000000000000e-05,1.157400000000000e+06,1.736100000000000e+03
8.175999999999999e-04,4.640000000000000e-05,1.161400000000000e+06,1.742100000000000e+03
7.912000000000001e-04,4.560000000000000e-05,1.164400000000000e+06,1.746600000000000e+03
8.160000000000001e-04,4.640000000000000e-05,1.168400000000000e+06,1.752600000000000e+03
7.928000000000000e-04,4.640000000000000e-05,1.171400000000000e+06,1.757100000000000e+03
7.944000000000000e-04,4.640000000000000e-05,1.175400000000000e+06,1.763100000000000e+03
8.344000000000001e-04,4.720000000000000e-05,1.178400000000000e+06,1.767600000000000e+03
8.200000000000001e-04,4.640000000000000e-05,1.182400000000000e+06,1.773600000000000e+03
8.032000000000000e-04,4.640000000000000e-05,1.186400000000000e+06,1.779600000000000e+03
8.488000000000001e-04,4.800000000000000e-05,1.189400000000000e+06,1.784100000000000e+03
8.792000000000000e-04,4.800000000000000e-05,1.193400000000000e+06,1.790100000000000e+03
8.816000000000000e-04,4.800000000000000e-05,1.196400000000000e+06,1.794600000000000e+03
8.328000000000001e-04,4.720000000000000e-05,1.200400000000000e+06,1.800600000000000e+03
8.904000000000001e-04,4.880000000000000e-05,1.203400000000000e+06,1.805100000000000e+03
8.696000000000001e-04,4.800000000000000e-05,1.207400000000000e+06,1.811100000000000e+03
9.992000000000000e-04,5.120000000000000e-05,1.211500000000000e+06,1.817250000000000e+03
9.616000000000000e-04,5.040000000000001e-05,1.214500000000000e+06,1.821750000000000e+03
9.072000000000000e-04,4.880000000000000e-05,1.218500000000000e+06,1.827750000000000e+03
9.632000000000000e-04,5.040000000000001e-05,1.222500000000000e+06,1.833750000000000e+03
9.040000000000000e-04,4.880000000000000e-05,1.225500000000000e+06,1.838250000000000e+03
8.424000000000000e-04,4.720000000000000e-05,1.229500000000000e+06,1.844250000000000e+03
9.752000000000001e-04,5.040000000000001e-05,1.232500000000000e+06,1.848750000000000e+03
