XS (b),dXS (b),Ea (eV),dEa (eV)
7.022000000000000e-02,1.125889066649108e-02,5.622034135644827e+06,1.124406827128965e+04
7.516000000000000e-02,1.205086948564293e-02,5.656068050232182e+06,1.131213610046437e+04
8.591000000000000e-02,1.377503246311964e-02,5.684091931823433e+06,1.136818386364687e+04
1.174700000000000e-01,1.883540397867802e-02,5.714126804099130e+06,1.142825360819826e+04
1.508000000000000e-01,2.417837844025112e-02,5.733135636196225e+06,1.146627127239245e+04
1.825500000000000e-01,2.927038373509989e-02,5.753153786811749e+06,1.150630757362350e+04
1.873600000000000e-01,3.003966380903755e-02,5.773171937427272e+06,1.154634387485454e+04
1.760200000000000e-01,2.822194596834173e-02,5.793197734395209e+06,1.158639546879042e+04
1.656800000000000e-01,2.656519108608105e-02,5.817214927322390e+06,1.163442985464478e+04
1.622200000000000e-01,2.601016161118573e-02,5.833234035626256e+06,1.166646807125251e+04
1.639200000000000e-01,2.628223772512531e-02,5.853252186241779e+06,1.170650437248356e+04
1.710300000000000e-01,2.742263078262186e-02,5.873277983209716e+06,1.174655596641943e+04
1.871000000000000e-01,3.000009493318313e-02,5.891285143140793e+06,1.178257028628159e+04
2.273300000000000e-01,3.645058270919685e-02,5.914315956606781e+06,1.182863191321356e+04
3.037200000000000e-01,4.869913616318056e-02,5.933324788703875e+06,1.186664957740775e+04
3.297900000000000e-01,5.287906456207410e-02,5.953342939319398e+06,1.190668587863880e+04
2.826800000000000e-01,4.532360587420203e-02,5.973361089934923e+06,1.194672217986985e+04
2.445400000000000e-01,3.921603851691295e-02,5.992385214736841e+06,1.198477042947368e+04
2.261000000000000e-01,3.625354983998118e-02,5.993386886902859e+06,1.198677377380572e+04
1.819900000000000e-01,2.918032245469539e-02,6.013405037518382e+06,1.202681007503676e+04
1.584800000000000e-01,2.541107841552578e-02,6.034424860299923e+06,1.206884972059985e+04
1.567500000000000e-01,2.513421771211509e-02,6.041421272757221e+06,1.208284254551444e+04
1.546100000000000e-01,2.479058800754835e-02,6.043424617089256e+06,1.208684923417851e+04
1.593300000000000e-01,2.554744119946262e-02,6.054435364563035e+06,1.210887072912607e+04
1.680900000000000e-01,2.695192667250340e-02,6.062441095538762e+06,1.212488219107752e+04
2.024400000000000e-01,3.245970443734816e-02,6.072457817198936e+06,1.214491563439787e+04
2.526200000000000e-01,4.050532469490895e-02,6.082466892506698e+06,1.216493378501340e+04
2.934900000000000e-01,4.705541127819413e-02,6.091466649296030e+06,1.218293329859206e+04
3.412000000000000e-01,5.470795247493732e-02,6.093477639980477e+06,1.218695527996096e+04
4.005400000000000e-01,6.422322605537657e-02,6.103471422583414e+06,1.220694284516683e+04
3.934600000000000e-01,6.312731701062543e-02,6.111484799911554e+06,1.222296959982311e+04
3.716500000000000e-01,5.959175526866111e-02,6.114482170057194e+06,1.222896434011439e+04
3.301900000000000e-01,5.294358095331293e-02,6.122495547385333e+06,1.224499109477067e+04
2.798200000000000e-01,4.486697281341812e-02,6.132504622693095e+06,1.226500924538619e+04
3.041900000000000e-01,4.877094151397941e-02,6.133506294859112e+06,1.226701258971822e+04
2.189800000000000e-01,3.511155727449296e-02,6.153524445474637e+06,1.230704889094927e+04
2.012700000000000e-01,3.227225108727311e-02,6.172533277571730e+06,1.234506655514346e+04
1.955100000000000e-01,3.134870010957392e-02,6.182542352879493e+06,1.236508470575899e+04
1.856300000000000e-01,2.976540140229928e-02,6.213571250968795e+06,1.242714250193759e+04
1.821300000000000e-01,2.920398302697767e-02,6.242596804726063e+06,1.248519360945213e+04
